"Wavelength, µm","n","k"
16.834,1.49835,0.00109
17.056,1.49799,0.000986
17.283,1.49701,0.00437
17.517,1.49557,0.00643
17.757,1.4906,0.00665
18.003,1.4889,0.00471
18.257,1.49211,0.00584
18.518,1.49241,0.00507
18.786,1.48941,0.00718
19.062,1.48351,0.0101
19.347,1.48194,0.0115
19.64,1.48424,0.0117
19.942,1.48253,0.0152
